,,,ï»¿timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulatingSupply,timestamp
,,,2025-11-11T00:00:00.000Z,2025-11-11T23:59:59.999Z,2025-11-11T01:23:00.000Z,2025-11-11T21:53:00.000Z,2781,105996.8575,107428.2598,102457.3299,102997.471,71130078574,2054823782941,19947531,2025-11-11T23:59:59.999Z
,,,2025-11-10T00:00:00.000Z,2025-11-10T23:59:59.999Z,2025-11-10T01:14:00.000Z,2025-11-10T00:07:00.000Z,2781,104723.7707,106564.6973,104350.6459,105996.5971,69585887229,2114307338735,19946887,2025-11-10T23:59:59.999Z
,,,2025-11-09T00:00:00.000Z,2025-11-09T23:59:59.999Z,2025-11-09T23:03:00.000Z,2025-11-09T03:31:00.000Z,2781,102278.9809,105418.3686,101468.8753,104719.6389,59679243013,2088873006729,19946503,2025-11-09T23:59:59.999Z
,,,2025-11-08T00:00:00.000Z,2025-11-08T23:59:59.999Z,2025-11-08T00:00:00.000Z,2025-11-08T14:20:00.000Z,2781,103371.7013,103373.5593,101458.04,102282.114,51446691095,2040075678640,19946187,2025-11-08T23:59:59.999Z
,,,2025-11-07T00:00:00.000Z,2025-11-07T23:59:59.999Z,2025-11-07T22:09:00.000Z,2025-11-07T12:56:00.000Z,2781,101286.2435,104052.9168,99257.05733,103372.4067,92168030081,2061830246983,19945790,2025-11-07T23:59:59.999Z
,,,2025-11-06T00:00:00.000Z,2025-11-06T23:59:59.999Z,2025-11-06T04:47:00.000Z,2025-11-06T16:45:00.000Z,2781,103893.6663,104147.304,100336.8665,101301.2905,63932752861,2020190184567,19945356,2025-11-06T23:59:59.999Z
2025-11-05T00:00:00.000Z,2025-11-05T23:59:59.999Z,2025-11-05T20:16:00.000Z,2025-11-05T01:40:00.000Z,2781,101579.2367,104534.7011,98989.91588,103891.8355,77584934804,2072068578561,19944128,2025-11-05T23:59:59.999Z,,,
2025-11-04T00:00:00.000Z,2025-11-04T23:59:59.999Z,2025-11-04T04:06:00.000Z,2025-11-04T21:37:00.000Z,2781,106541.422,107264.8828,98962.0641,101590.5223,110967184773,2025909299235,19944128,2025-11-04T23:59:59.999Z,,,
2025-11-03T00:00:00.000Z,2025-11-03T23:59:59.999Z,2025-11-03T00:11:00.000Z,2025-11-03T16:09:00.000Z,2781,110646.9053,110764.9165,105336.3572,106547.5196,72852006359,2124870430622,19944078,2025-11-03T23:59:59.999Z,,,
2025-11-02T00:00:00.000Z,2025-11-02T23:59:59.999Z,2025-11-02T12:06:00.000Z,2025-11-02T22:36:00.000Z,2781,110064.4316,111167.3134,109523.4562,110639.6263,34284209459,2206703485501,19943653,2025-11-02T23:59:59.999Z,,,
2025-11-01T00:00:00.000Z,2025-11-01T23:59:59.999Z,2025-11-01T20:34:00.000Z,2025-11-01T00:10:00.000Z,2781,109558.6275,110574.9014,109372.9547,110064.0174,25871668762,2195031469846,19943150,2025-11-01T23:59:59.999Z,,,
2025-10-31T00:00:00.000Z,2025-10-31T23:59:59.999Z,2025-10-31T15:11:00.000Z,2025-10-31T00:01:00.000Z,2781,108304.4146,111031.8219,108288.2713,109556.1609,60090359560,2184893745051,19942690,2025-10-31T23:59:59.999Z,,,
2025-10-30T00:00:00.000Z,2025-10-30T23:59:59.999Z,2025-10-30T07:20:00.000Z,2025-10-30T20:00:00.000Z,2781,110059.1968,111612.3482,106376.6888,108305.5488,69673964814,2159806960808,19942003,2025-10-30T23:59:59.999Z,,,
2025-10-29T00:00:00.000Z,2025-10-29T23:59:59.999Z,2025-10-29T13:28:00.000Z,2025-10-29T18:41:00.000Z,2781,112921.3275,113642.7241,109368.7201,110055.3029,62192043469,2194776069999,19941778,2025-10-29T23:59:59.999Z,,,
2025-10-28T00:00:00.000Z,2025-10-28T23:59:59.999Z,2025-10-28T14:22:00.000Z,2025-10-28T21:09:00.000Z,2781,114129.0891,116078.9852,112291.6815,112956.1664,64528066504,2251805068453,19941362,2025-10-28T23:59:59.999Z,,,
2025-10-27T00:00:00.000Z,2025-10-27T23:59:59.999Z,2025-10-27T07:07:00.000Z,2025-10-27T23:17:00.000Z,2781,114479.8489,116273.3143,113882.2921,114119.3248,61761358733,2275835954529,19940893,2025-10-27T23:59:59.999Z,,,
2025-10-26T00:00:00.000Z,2025-10-26T23:59:59.999Z,2025-10-26T22:05:00.000Z,2025-10-26T04:02:00.000Z,2781,111639.0527,115260.9051,111268.4876,114472.4434,41708524143,2282777872259,19940434,2025-10-26T23:59:59.999Z,,,
2025-10-25T00:00:00.000Z,2025-10-25T23:59:59.999Z,2025-10-25T12:59:00.000Z,2025-10-25T00:55:00.000Z,2781,111032.6149,111947.7047,110704.4078,111641.73,24707667305,2226078132793,19939959,2025-10-25T23:59:59.999Z,,,
2025-10-24T00:00:00.000Z,2025-10-24T23:59:59.999Z,2025-10-24T12:32:00.000Z,2025-10-24T14:28:00.000Z,2781,110069.3546,111842.528,109770.1516,111033.9231,48160816980,2213928828746,19939446,2025-10-24T23:59:59.999Z,,,
2025-10-23T00:00:00.000Z,2025-10-23T23:59:59.999Z,2025-10-23T18:03:00.000Z,2025-10-23T00:05:00.000Z,2781,107679.4388,111288.5948,107548.4292,110069.7229,54944076060,2194660092835,19938884,2025-10-23T23:59:59.999Z,,,
2025-10-22T00:00:00.000Z,2025-10-22T23:59:59.999Z,2025-10-22T15:08:00.000Z,2025-10-22T21:31:00.000Z,2781,108491.5277,109115.1366,106777.9966,107688.5881,80807013218,2146962722155,19938465,2025-10-22T23:59:59.999Z,,,
2025-10-21T00:00:00.000Z,2025-10-21T23:59:59.999Z,2025-10-21T16:37:00.000Z,2025-10-21T08:48:00.000Z,2781,110587.6299,113996.3463,107534.7491,108476.887,101194375480,2163102017753,19937981,2025-10-21T23:59:59.999Z,,,
2025-10-20T00:00:00.000Z,2025-10-20T23:59:59.999Z,2025-10-20T15:53:00.000Z,2025-10-20T00:34:00.000Z,2781,108667.4438,111711.0332,107485.0143,110588.9302,63507793085,2204868785655,19937518,2025-10-20T23:59:59.999Z,,,
2025-10-19T00:00:00.000Z,2025-10-19T23:59:59.999Z,2025-10-19T18:58:00.000Z,2025-10-19T09:30:00.000Z,2781,107204.3141,109488.9925,106157.7906,108666.7115,47657008953,2166469140315,19936690,2025-10-19T23:59:59.999Z,,,
2025-10-18T00:00:00.000Z,2025-10-18T23:59:59.999Z,2025-10-18T07:13:00.000Z,2025-10-18T00:17:00.000Z,2781,106483.7352,107490.9812,106387.4499,107198.2669,37779905278,2137288778463,19936593,2025-10-18T23:59:59.999Z,,,
2025-10-17T00:00:00.000Z,2025-10-17T23:59:59.999Z,2025-10-17T04:03:00.000Z,2025-10-17T10:25:00.000Z,2781,108179.1347,109235.8077,103598.4289,106467.7852,99703051669,2122869968032,19936096,2025-10-17T23:59:59.999Z,,,
2025-10-16T00:00:00.000Z,2025-10-16T23:59:59.999Z,2025-10-16T12:05:00.000Z,2025-10-16T20:36:00.000Z,2781,110782.1719,111990.813,107537.0293,108186.0385,87306423067,2156578744338,19935256,2025-10-16T23:59:59.999Z,,,
2025-10-15T00:00:00.000Z,2025-10-15T23:59:59.999Z,2025-10-15T02:31:00.000Z,2025-10-15T17:17:00.000Z,2781,113113.9721,113622.382,110235.8355,110783.1669,72574132855,2208376792809,19934406,2025-10-15T23:59:59.999Z,,,
2025-10-14T00:00:00.000Z,2025-10-14T23:59:59.999Z,2025-10-14T00:34:00.000Z,2025-10-14T13:39:00.000Z,2781,115264.879,115502.8794,110029.4866,113118.6672,92212917403,2254859843996,19934406,2025-10-14T23:59:59.999Z,,,
2025-10-13T00:00:00.000Z,2025-10-13T23:59:59.999Z,2025-10-13T19:55:00.000Z,2025-10-13T11:31:00.000Z,2781,115161.6758,116020.4865,113821.1902,115271.0751,71582026739,2297709116995,19934165,2025-10-13T23:59:59.999Z,,,
